host,merkur.planetlab.haw-hamburg.de,host,planetlab2.fct.ualg.pt,rtt,64.311,hops,12
host,merkur.planetlab.haw-hamburg.de,host,planetlab-1.ida.liu.se,rtt,38.455,hops,18
host,merkur.planetlab.haw-hamburg.de,host,ple44.planet-lab.eu,rtt,33.044,hops,14
host,merkur.planetlab.haw-hamburg.de,host,planetlab2.u-strasbg.fr,rtt,34.799,hops,12
host,merkur.planetlab.haw-hamburg.de,host,cse-yellow.cse.chalmers.se,rtt,41.527,hops,17
host,merkur.planetlab.haw-hamburg.de,host,mars.planetlab.haw-hamburg.de,rtt,0.086,hops,1
host,merkur.planetlab.haw-hamburg.de,host,planetlab3.xeno.cl.cam.ac.uk,rtt,,hops,15
host,merkur.planetlab.haw-hamburg.de,host,plue1.uetpeshawar.edu.pk,rtt,,hops,10
host,merkur.planetlab.haw-hamburg.de,host,dschinni.planetlab.extranet.uni-passau.de,rtt,,hops,5
host,merkur.planetlab.haw-hamburg.de,host,pl1.uni-rostock.de,rtt,,hops,4
host,merkur.planetlab.haw-hamburg.de,host,planet2.unipr.it,rtt,,hops,12
host,merkur.planetlab.haw-hamburg.de,host,planetlab2.cs.uit.no,rtt,,hops,18
host,merkur.planetlab.haw-hamburg.de,host,planetlab1.u-strasbg.fr,rtt,42.274,hops,12
host,merkur.planetlab.haw-hamburg.de,host,ple43.planet-lab.eu,rtt,40.549,hops,14
host,merkur.planetlab.haw-hamburg.de,host,pl-node-2.technion.ac.il,rtt,,hops,10
host,merkur.planetlab.haw-hamburg.de,host,plab1.eecs.qmul.ac.uk,rtt,40.730,hops,14
host,merkur.planetlab.haw-hamburg.de,host,plab2.eecs.qmul.ac.uk,rtt,33.193,hops,14
host,merkur.planetlab.haw-hamburg.de,host,ple3.planet-lab.eu,rtt,,hops,13
host,merkur.planetlab.haw-hamburg.de,host,planetlab2.sfc.wide.ad.jp,rtt,,hops,23
host,merkur.planetlab.haw-hamburg.de,host,planetlab2.iii.u-tokyo.ac.jp,rtt,,hops,12
host,merkur.planetlab.haw-hamburg.de,host,ricepl-1.cs.rice.edu,rtt,,hops,16
host,merkur.planetlab.haw-hamburg.de,host,planetlab1.cs.ubc.ca,rtt,177.430,hops,20
host,merkur.planetlab.haw-hamburg.de,host,plab1.cs.ust.hk,rtt,,hops,13
host,merkur.planetlab.haw-hamburg.de,host,planetlab-2.scie.uestc.edu.cn,rtt,273.856,hops,20
host,merkur.planetlab.haw-hamburg.de,host,planetlab1.iii.u-tokyo.ac.jp,rtt,,hops,12
host,merkur.planetlab.haw-hamburg.de,host,planetlab1.poly.edu,rtt,,hops,10
host,merkur.planetlab.haw-hamburg.de,host,planetlab1.eee.hku.hk,rtt,,hops,15
